id,code,name,type,parent_id:id,user_type:id
pcg_m14_2112,2112,Terrains de voirie,other,l10n_fr_m14.pcg_m14_211,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_2113,2113,Terrains aménagés autres que voirie,other,l10n_fr_m14.pcg_m14_211,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_2114,2114,Terrains de gisement,other,l10n_fr_m14.pcg_m14_211,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_2115,2115,Terrains bâtis,other,l10n_fr_m14.pcg_m14_211,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_2116,2116,Cimetières,other,l10n_fr_m14.pcg_m14_211,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_2117,2117,Bois et forêts,other,l10n_fr_m14.pcg_m14_211,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_2118,2118,Autres terrains,other,l10n_fr_m14.pcg_m14_211,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_212,212,Agencements et aménagements de terrains,view,l10n_fr_m14.pcg_m14_21,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_2121,2121,Plantations d'arbres et d'arbustes,other,l10n_fr_m14.pcg_m14_212,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_2128,2128,Autres agencements et aménagements de terrains,other,l10n_fr_m14.pcg_m14_212,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_213,213,Constructions,view,l10n_fr_m14.pcg_m14_21,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_2131,2131,Bâtiments publics,view,l10n_fr_m14.pcg_m14_213,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_21311,21311,Hôtel de ville,other,l10n_fr_m14.pcg_m14_2131,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_21312,21312,Bâtiments scolaires,other,l10n_fr_m14.pcg_m14_2131,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_21316,21316,Équipements du cimetière,other,l10n_fr_m14.pcg_m14_2131,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_21318,21318,Autres bâtiments publics,other,l10n_fr_m14.pcg_m14_2131,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_2132,2132,Immeubles de rapport,other,l10n_fr_m14.pcg_m14_213,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_2135,2135,"Installations générales, agencements, aménagements des constructions",other,l10n_fr_m14.pcg_m14_213,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_2138,2138,Autres constructions,other,l10n_fr_m14.pcg_m14_213,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_214,214,Constructions sur sol d'autrui,view,l10n_fr_m14.pcg_m14_21,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_2141,2141,Constructions sur sol d'autrui - Bâtiments publics,other,l10n_fr_m14.pcg_m14_214,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_2142,2142,Constructions sur sol d'autrui - Immeubles de rapport,other,l10n_fr_m14.pcg_m14_214,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_2145,2145,"Construction sur sol d'autrui - Installations générales, agencements, aménagements",other,l10n_fr_m14.pcg_m14_214,l10n_fr_m14.fr_pcg_m14_default_type
